,,,,,,Forecast State Environment,Random Error-State Environment,Simulated State Environment,
,,,,,,59.80%,-2.09%,59%,
,,,,,,,,,
,Predicted Registration,Forecast Turnout,Random Error-Turnout,Simulated Turnout,Predicted County Lean (Average),Predicted County Lean (Linear),Predicted County Share,Predicted Vote Total,Predicted Dem Vote
Alpine,930,49.38%,-0.76%,49%,3.88%,9.11%,62.43%,456,285
Amador,"26,957",51.52%,-4.64%,49%,-24.65%,-24.45%,33.90%,"13,244","4,490"
Calaveras,"32,819",47.31%,0.56%,48%,-24.04%,-25.16%,34.51%,"15,614","5,388"
El Dorado,"137,636",47.52%,-1.71%,47%,-17.84%,-15.68%,40.71%,"64,284","26,171"
Inyo,"10,856",49.43%,-8.30%,45%,-12.80%,-10.18%,45.75%,"4,920","2,251"
Madera,"35,735",37.08%,2.64%,38%,-27.00%,-23.77%,31.55%,"13,601","4,291"
Mariposa,"11,737",49.24%,5.12%,52%,-20.83%,-20.44%,37.72%,"6,075","2,292"
Merced,"13,024",30.70%,4.54%,32%,-26.73%,-23.06%,31.82%,"4,180","1,330"
Mono,"7,998",46.41%,15.11%,53%,-2.51%,-0.67%,56.04%,"4,273","2,394"
Nevada,"12,272",49.80%,-5.11%,47%,13.53%,16.84%,72.08%,"5,799","4,180"
Placer,"8,560",46.15%,-8.89%,42%,12.24%,14.27%,70.79%,"3,599","2,548"
Stanislaus,"300,132",32.62%,12.39%,37%,-15.53%,-15.43%,43.02%,"110,033","47,337"
Tuolumne,"35,571",47.85%,1.23%,48%,-20.92%,-20.39%,37.63%,"17,230","6,484"
,,,,,,,Totals,"263,309","109,441"
,,,,,,,Dem %,41.56%,
